,zone_name,zone_id,zone_coords,zone_nightlife_count,zone_restaurant_count,zone_cultural_count,zone_lodging_count,zone_poi_count
116,Mortágua,1956105,"40.399860, -8.232900",8,52,96,11,108
117,Sever do Vouga,1956109,"40.737190, -8.365250",13,59,106,14,126
118,Tondela,1956110,"40.516370, -8.071070",19,30,106,20,181
119,Vila Verde,2024795,"41.652480, -8.430770",23,106,125,39,148
120,Figueiró dos Vinhos,2053346,"39.909670, -8.275260",4,42,83,19,88
121,Alenquer,2067688,"39.055090, -9.009610",18,64,105,32,148
122,Pedrógão Grande,2085289,"39.918750, -8.152600",8,47,84,12,89
123,Idanha-a-Nova,2097165,"39.925480, -7.242860",5,40,71,27,92
124,Marco de Canaveses,2137524,"41.187200, -8.147730",26,80,117,43,197
125,Trancoso,2137525,"40.774520, -7.345850",6,29,99,18,77
126,Sabugal,2184372,"40.352170, -7.093260",17,36,81,6,108
127,Valongo,2188317,"41.190070, -8.493140",38,147,117,35,189
128,Boticas,2199643,"41.689680, -7.648520",6,8,84,2,80
129,Cartaxo,226941,"39.159590, -8.789640",20,128,81,51,151
130,Fafe,226942,"41.454020, -8.169580",26,110,122,36,106
131,Sabrosa,226943,"41.265630, -7.567020",7,21,103,9,145
132,Montalegre,226944,"41.825470, -7.785720",5,64,97,13,72
133,Vimioso,2275407,"41.634440, -6.514180",1,10,60,2,37
134,Sesimbra,227946,"38.444840, -9.101280",30,59,85,78,187
135,Vieira do Minho,2290369,"41.628780, -8.123160",2,13,80,29,115
136,Abrantes,230082,"39.466270, -8.203580",23,95,116,16,143
137,Alcobaça,230083,"39.551380, -8.977430",20,72,113,59,185
138,Guarda,230084,"40.536620, -7.268290",33,153,104,31,144
139,Leiria,230085,"39.743620, -8.807050",66,175,141,29,189
140,Vila Nova de Paiva,2321806,"40.856610, -7.727640",4,32,89,6,155
141,Porto de Mós,2352944,"39.601940, -8.818660",10,67,100,16,159
142,Tabuaço,2368615,"41.117340, -7.567890",6,37,89,23,109
143,Ansião,2391428,"39.911400, -8.459240",5,44,90,20,138
144,Vidigueira,2413548,"38.209920, -7.805040",8,37,84,15,64
145,Santa Maria de Penaguião,2479236,"41.206400, -7.768870",7,19,124,13,124
146,Nelas,2483927,"40.532440, -7.851960",6,75,88,27,172
147,São João da Pesqueira,2485080,"41.145600, -7.407460",4,40,77,4,106
148,Vendas Novas,2500441,"38.677870, -8.457420",9,35,78,17,53
149,Miranda do Corvo,2526692,"40.098690, -8.337880",13,13,104,23,123
150,Alandroal,2537378,"38.707480, -7.403580",1,22,71,13,60
151,Vila Flor,2543584,"41.307090, -7.153930",8,54,84,9,90
152,Almeirim,2589401,"39.209060, -8.616700",14,48,84,19,123
